"BehaviorSpace results (NetLogo 6.0.1)"
"product-market-fit.nlogo"
"Strategy comparisons"
"08/13/2017 21:36:05:519 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","traits","producer-strategy","features","[step]","count consumers with [ need-met? ]","[ effort ] of one-of producers"
"1","3","""random""","4","20","50","20"
"3","3","""random""","4","59","50","59"
"4","3","""random""","4","30","50","30"
"5","3","""random""","4","51","50","51"
"2","3","""random""","4","87","50","87"
"8","3","""random""","4","16","50","16"
"6","3","""random""","4","45","50","45"
"9","3","""random""","4","28","50","28"
"11","3","""feedback""","4","50","50","50"
"7","3","""random""","4","102","50","102"
"12","3","""feedback""","4","43","50","43"
"10","3","""random""","4","56","50","56"
"16","3","""feedback""","4","27","50","27"
"14","3","""feedback""","4","64","50","64"
"13","3","""feedback""","4","63","50","63"
"17","3","""feedback""","4","20","50","20"
"15","3","""feedback""","4","76","50","76"
"18","3","""feedback""","4","47","50","47"
"19","3","""feedback""","4","57","50","57"
"20","3","""feedback""","4","66","50","66"
"21","3","""fixed""","4","1000","13","0"
"23","3","""fixed""","4","1000","7","0"
"22","3","""fixed""","4","1000","8","0"
"24","3","""fixed""","4","1000","12","0"
"25","3","""fixed""","4","1000","12","0"
"26","3","""fixed""","4","1000","15","0"
"27","3","""fixed""","4","1000","10","0"
"28","3","""fixed""","4","1000","2","0"
"29","3","""fixed""","4","1000","4","0"
"30","3","""fixed""","4","1000","6","0"
