"BehaviorSpace results (NetLogo 6.0.1)"
"Diffusion-chrizbo.nlogo"
"social-influence-experiment"
"07/23/2017 13:43:07:963 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-16","16","-16","16"
"[run number]","num-agents","network","social-influence","broadcast-influence","[step]","count turtles with [ adopted? ]","count regulars with [ adopted? ]","count influentials with [ adopted? ]"
"3","100","""random""","0.1","0.05","0","0","0","0"
"4","100","""random""","0.1","0.05","0","0","0","0"
"1","100","""random""","0.1","0.05","0","0","0","0"
"4","100","""random""","0.1","0.05","1","5","5","0"
"3","100","""random""","0.1","0.05","1","7","6","1"
"1","100","""random""","0.1","0.05","1","6","5","1"
"4","100","""random""","0.1","0.05","2","17","16","1"
"1","100","""random""","0.1","0.05","2","11","10","1"
"3","100","""random""","0.1","0.05","2","14","13","1"
"4","100","""random""","0.1","0.05","3","21","20","1"
"1","100","""random""","0.1","0.05","3","19","17","2"
"3","100","""random""","0.1","0.05","3","17","16","1"
"4","100","""random""","0.1","0.05","4","27","25","2"
"4","100","""random""","0.1","0.05","5","31","29","2"
"3","100","""random""","0.1","0.05","4","26","25","1"
"4","100","""random""","0.1","0.05","6","33","31","2"
"3","100","""random""","0.1","0.05","5","33","31","2"
"4","100","""random""","0.1","0.05","7","36","34","2"
"3","100","""random""","0.1","0.05","6","37","35","2"
"4","100","""random""","0.1","0.05","8","42","38","4"
"3","100","""random""","0.1","0.05","7","41","38","3"
"4","100","""random""","0.1","0.05","9","48","44","4"
"3","100","""random""","0.1","0.05","8","46","43","3"
"4","100","""random""","0.1","0.05","10","53","48","5"
"4","100","""random""","0.1","0.05","11","58","53","5"
"3","100","""random""","0.1","0.05","9","51","48","3"
"4","100","""random""","0.1","0.05","12","64","58","6"
"3","100","""random""","0.1","0.05","10","54","51","3"
"4","100","""random""","0.1","0.05","13","69","63","6"
"3","100","""random""","0.1","0.05","11","55","52","3"
"2","100","""random""","0.1","0.05","0","0","0","0"
"4","100","""random""","0.1","0.05","14","70","64","6"
"3","100","""random""","0.1","0.05","12","57","53","4"
"4","100","""random""","0.1","0.05","15","76","69","7"
"3","100","""random""","0.1","0.05","13","65","61","4"
"4","100","""random""","0.1","0.05","16","78","70","8"
"3","100","""random""","0.1","0.05","14","67","63","4"
"4","100","""random""","0.1","0.05","17","85","75","10"
"4","100","""random""","0.1","0.05","18","87","77","10"
"2","100","""random""","0.1","0.05","1","3","3","0"
"3","100","""random""","0.1","0.05","15","70","65","5"
"4","100","""random""","0.1","0.05","19","87","77","10"
"4","100","""random""","0.1","0.05","20","88","78","10"
"3","100","""random""","0.1","0.05","16","75","69","6"
"4","100","""random""","0.1","0.05","21","90","80","10"
"1","100","""random""","0.1","0.05","4","23","21","2"
"3","100","""random""","0.1","0.05","17","75","69","6"
"3","100","""random""","0.1","0.05","18","78","72","6"
"2","100","""random""","0.1","0.05","2","5","5","0"
"3","100","""random""","0.1","0.05","19","79","73","6"
"3","100","""random""","0.1","0.05","20","79","73","6"
"3","100","""random""","0.1","0.05","21","81","75","6"
"3","100","""random""","0.1","0.05","22","81","75","6"
"2","100","""random""","0.1","0.05","3","10","10","0"
"3","100","""random""","0.1","0.05","23","82","76","6"
"3","100","""random""","0.1","0.05","24","82","76","6"
"3","100","""random""","0.1","0.05","25","83","77","6"
"1","100","""random""","0.1","0.05","5","29","27","2"
"2","100","""random""","0.1","0.05","4","13","13","0"
"1","100","""random""","0.1","0.05","6","31","29","2"
"2","100","""random""","0.1","0.05","5","15","15","0"
"1","100","""random""","0.1","0.05","7","35","32","3"
"2","100","""random""","0.1","0.05","6","16","16","0"
"1","100","""random""","0.1","0.05","8","39","36","3"
"3","100","""random""","0.1","0.05","26","84","78","6"
"4","100","""random""","0.1","0.05","22","91","81","10"
"1","100","""random""","0.1","0.05","9","42","39","3"
"2","100","""random""","0.1","0.05","7","21","21","0"
"1","100","""random""","0.1","0.05","10","47","43","4"
"2","100","""random""","0.1","0.05","8","22","22","0"
"1","100","""random""","0.1","0.05","11","55","50","5"
"2","100","""random""","0.1","0.05","9","25","25","0"
"1","100","""random""","0.1","0.05","12","57","52","5"
"2","100","""random""","0.1","0.05","10","30","30","0"
