"BehaviorSpace results (NetLogo 6.0.1)"
"Spread of Disease.nlogo"
"population-density"
"07/31/2017 22:59:17:765 -0400"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-20","20","-20","20"
"[run number]","variant","connections-per-node","num-people","num-infected","disease-decay","[step]","ticks"
"4","""mobile""","4.1","50","1","0","304","304"
"2","""mobile""","4.1","50","1","0","338","338"
"3","""mobile""","4.1","50","1","0","469","469"
"5","""mobile""","4.1","50","1","0","363","363"
"6","""mobile""","4.1","50","1","0","353","353"
"7","""mobile""","4.1","50","1","0","353","353"
"9","""mobile""","4.1","50","1","0","241","241"
"8","""mobile""","4.1","50","1","0","446","446"
"10","""mobile""","4.1","50","1","0","330","330"
"11","""mobile""","4.1","100","1","0","219","219"
"12","""mobile""","4.1","100","1","0","234","234"
"13","""mobile""","4.1","100","1","0","219","219"
"15","""mobile""","4.1","100","1","0","172","172"
"14","""mobile""","4.1","100","1","0","220","220"
"16","""mobile""","4.1","100","1","0","189","189"
"17","""mobile""","4.1","100","1","0","172","172"
"18","""mobile""","4.1","100","1","0","248","248"
"20","""mobile""","4.1","100","1","0","178","178"
"19","""mobile""","4.1","100","1","0","188","188"
"21","""mobile""","4.1","150","1","0","178","178"
"22","""mobile""","4.1","150","1","0","133","133"
"23","""mobile""","4.1","150","1","0","140","140"
"24","""mobile""","4.1","150","1","0","142","142"
"25","""mobile""","4.1","150","1","0","137","137"
"26","""mobile""","4.1","150","1","0","134","134"
"27","""mobile""","4.1","150","1","0","133","133"
"28","""mobile""","4.1","150","1","0","178","178"
"29","""mobile""","4.1","150","1","0","200","200"
"31","""mobile""","4.1","200","1","0","110","110"
"30","""mobile""","4.1","150","1","0","167","167"
"33","""mobile""","4.1","200","1","0","132","132"
"35","""mobile""","4.1","200","1","0","112","112"
"34","""mobile""","4.1","200","1","0","105","105"
"32","""mobile""","4.1","200","1","0","135","135"
"37","""mobile""","4.1","200","1","0","109","109"
"36","""mobile""","4.1","200","1","0","115","115"
"38","""mobile""","4.1","200","1","0","101","101"
"40","""mobile""","4.1","200","1","0","113","113"
"39","""mobile""","4.1","200","1","0","159","159"
"1","""mobile""","4.1","50","1","0","348","348"
